match_id,date,player1,player2,h2h_L10_weighted,h2h_L30_weighted,h2h_L60_weighted,h2h_L10_count,h2h_L30_count,h2h_L60_count,recent_A_L10,recent_B_L10,recent_A_L30,recent_B_L30,match_balance_L10
11616772,2026-03-20 13:05:00,Adrian Fabis,Dariusz Szlubowski,0.8,0.6666666666666666,0.6666666666666666,10,24,24,0.7,0.9,0.7,0.7666666666666667,0.30000000000000004
11615079,2026-03-20 13:25:00,Jakub Kuzmicz,Mateusz Rutkowski,1.0,0.7857142857142857,0.7857142857142857,10,28,28,0.6,0.7,0.6333333333333333,0.7666666666666667,0.29999999999999993
11616987,2026-03-20 13:30:00,Kacper Marchlewski,Blazej Warpas,0.6066666666666667,0.6066666666666667,0.6066666666666667,0,0,0,0.6,0.6,0.6333333333333333,0.6,0.19999999999999996
11614685,2026-03-20 13:30:00,Roman Wiza,Rafal Adach,0.7,0.6,0.5952380952380952,10,30,42,0.7,0.7,0.7333333333333333,0.5333333333333333,0.09999999999999998
11616986,2026-03-20 14:20:00,Dariusz Szlubowski,Blazej Warpas,0.7063333333333333,0.7063333333333333,0.7063333333333333,3,3,3,0.9,0.6,0.7666666666666667,0.6,0.6
11615078,2026-03-20 14:35:00,Jakub Kuzmicz,Marcin Marchlewski,0.73,0.73,0.73,0,0,0,0.6,0.9,0.6333333333333333,0.7666666666666667,0.4
11616771,2026-03-20 14:40:00,Adrian Fabis,Adrian Eliasz,0.7509999999999999,0.7509999999999999,0.7509999999999999,1,1,1,0.7,0.8,0.7,0.6666666666666666,0.20000000000000007
11616650,2026-03-20 15:25:00,Kacper Szurlej,Mateusz Rutkowski,0.8053333333333332,0.8053333333333332,0.8053333333333332,2,2,2,0.8,0.7,0.7666666666666667,0.7666666666666667,0.4
11615077,2026-03-20 15:45:00,Jakub Kuzmicz,Rafal Utylski,0.6633333333333333,0.6633333333333333,0.6633333333333333,0,0,0,0.6,0.7,0.6333333333333333,0.7333333333333333,0.19999999999999996
11616770,2026-03-20 15:50:00,Adrian Fabis,Kacper Marchlewski,0.6,0.5833333333333334,0.5833333333333334,10,24,24,0.7,0.6,0.7,0.6333333333333333,0.09999999999999998
11616649,2026-03-20 16:10:00,Marcin Marchlewski,Mateusz Rutkowski,0.3,0.42105263157894735,0.42105263157894735,10,19,19,0.9,0.7,0.7666666666666667,0.7666666666666667,0.5
11616985,2026-03-20 16:15:00,Kuba Golaszewski,Blazej Warpas,0.706,0.706,0.706,7,7,7,0.8,0.6,0.7333333333333333,0.6,0.6000000000000001
11619282,2026-03-20 17:00:00,Dawid Kotwica,Sebastian Baran,0.7,0.6666666666666666,0.6166666666666667,10,30,60,0.5,0.3,0.7,0.43333333333333335,0.4
11616984,2026-03-20 17:10:00,Adrian Eliasz,Blazej Warpas,0.706,0.706,0.706,1,1,1,0.8,0.6,0.6666666666666666,0.6,0.5
11615076,2026-03-20 17:30:00,Kacper Szurlej,Jakub Kuzmicz,0.7,0.7,0.7,0,0,0,0.8,0.6,0.7666666666666667,0.6333333333333333,0.30000000000000004
11616769,2026-03-20 17:35:00,Adrian Fabis,Kuba Golaszewski,0.7,0.7142857142857143,0.7142857142857143,10,28,28,0.7,0.8,0.7,0.7333333333333333,0.3000000000000001
11615075,2026-03-20 17:50:00,Krystian Kolodziej,Jakub Kuzmicz,0.6,0.6153846153846154,0.6153846153846154,10,13,13,0.7,0.6,0.7,0.6333333333333333,0.09999999999999998
11616768,2026-03-20 17:55:00,Adrian Fabis,Adrian Eliasz,0.7509999999999999,0.7509999999999999,0.7509999999999999,1,1,1,0.7,0.8,0.7,0.6666666666666666,0.20000000000000007
11614606,2026-03-20 18:20:00,Dariusz Wrobel,Kacper Marchlewski,0.6,0.5263157894736842,0.5263157894736842,10,19,19,0.6,0.6,0.6,0.6333333333333333,0.09999999999999998
11616767,2026-03-20 18:45:00,Adrian Fabis,Kacper Marchlewski,0.6,0.5833333333333334,0.5833333333333334,10,24,24,0.7,0.6,0.7,0.6333333333333333,0.09999999999999998
11615074,2026-03-20 19:00:00,Jakub Kuzmicz,Marcin Marchlewski,0.73,0.73,0.73,0,0,0,0.6,0.9,0.6333333333333333,0.7666666666666667,0.4
11616766,2026-03-20 19:30:00,Adrian Fabis,Dariusz Wrobel,0.7,0.6666666666666666,0.75,10,30,60,0.7,0.6,0.7,0.6,0.19999999999999996
11615073,2026-03-20 19:50:00,Kacper Szurlej,Jakub Kuzmicz,0.7,0.7,0.7,0,0,0,0.8,0.6,0.7666666666666667,0.6333333333333333,0.30000000000000004
11615072,2026-03-20 20:15:00,Krystian Kolodziej,Jakub Kuzmicz,0.6,0.6153846153846154,0.6153846153846154,10,13,13,0.7,0.6,0.7,0.6333333333333333,0.09999999999999998
11616765,2026-03-20 20:20:00,Adrian Fabis,Adrian Eliasz,0.7509999999999999,0.7509999999999999,0.7509999999999999,1,1,1,0.7,0.8,0.7,0.6666666666666666,0.20000000000000007
11616764,2026-03-20 21:10:00,Adrian Fabis,Kacper Marchlewski,0.6,0.5833333333333334,0.5833333333333334,10,24,24,0.7,0.6,0.7,0.6333333333333333,0.09999999999999998
11615071,2026-03-20 21:30:00,Jakub Kuzmicz,Marcin Marchlewski,0.73,0.73,0.73,0,0,0,0.6,0.9,0.6333333333333333,0.7666666666666667,0.4
11616763,2026-03-20 22:00:00,Adrian Fabis,Dariusz Wrobel,0.7,0.6666666666666666,0.75,10,30,60,0.7,0.6,0.7,0.6,0.19999999999999996
