WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
2,Brisbane,Brisbane International,1/7/2026,WTA500,Outdoor,Hard,2nd Round,3,Samsonova L.,Jones E.,17,147,2209,491,6,4,6,1,,,2,0,Completed,1.44,2.75,1.47,2.86,1.63,2.75,1.48,2.62,1.47,3.05
2,Brisbane,Brisbane International,1/7/2026,WTA500,Outdoor,Hard,2nd Round,3,Noskova L.,Frech M.,12,59,2641,1051,6,7,6,4,6,4,2,1,Completed,1.29,3.75,1.3,3.83,1.3,3.8,1.27,3.71,1.29,4.3
2,Brisbane,Brisbane International,1/7/2026,WTA500,Outdoor,Hard,2nd Round,3,Andreeva M.,Gadecki O.,9,204,4125,350,4,6,6,1,6,2,2,1,Completed,1.17,5,1.21,4.95,1.2,5.5,1.18,4.73,1.21,5.5
2,Brisbane,Brisbane International,1/7/2026,WTA500,Outdoor,Hard,2nd Round,3,Kostyuk M.,Putintseva Y.,26,74,1659,891,6,7,6,1,6,0,2,1,Completed,1.44,2.75,1.43,3.05,1.45,2.88,1.42,2.77,1.42,3.3
2,Brisbane,Brisbane International,1/7/2026,WTA500,Outdoor,Hard,2nd Round,3,Anisimova A.,Birrell K.,3,106,6287,721,6,1,6,3,,,2,0,Completed,1.17,5,1.19,5.41,1.19,5.25,1.16,4.99,1.2,5.8
2,Brisbane,Brisbane International,1/8/2026,WTA500,Outdoor,Hard,3rd Round,3,Sabalenka A.,Cirstea S.,1,41,10490,1243,6,3,6,3,,,2,0,Completed,1.07,9,1.17,5.05,1.13,9,1.1,7.09,1.15,7.2
2,Brisbane,Brisbane International,1/8/2026,WTA500,Outdoor,Hard,3rd Round,3,Rybakina E.,Badosa P.,5,25,5850,1675,6,3,6,2,,,2,0,Completed,1.17,5,1.22,4.61,1.23,5.2,1.2,4.45,1.21,5.5
2,Brisbane,Brisbane International,1/8/2026,WTA500,Outdoor,Hard,3rd Round,3,Muchova K.,Alexandrova E.,20,10,1888,3375,6,4,7,5,,,2,0,Completed,2.3,1.62,2.43,1.62,2.38,1.68,2.25,1.63,2.4,1.69
2,Brisbane,Brisbane International,1/8/2026,WTA500,Outdoor,Hard,3rd Round,3,Keys M.,Shnaider D.,7,21,4335,1866,6,7,7,6,7,6,2,1,Completed,1.57,2.38,1.56,2.58,1.65,2.45,1.58,2.33,1.61,2.62
2,Brisbane,Brisbane International,1/8/2026,WTA500,Outdoor,Hard,3rd Round,3,Samsonova L.,Sasnovich A.,17,113,2209,672,6,4,6,4,,,2,0,Completed,1.57,2.38,1.63,2.41,1.63,2.38,1.58,2.33,1.67,2.48
2,Brisbane,Brisbane International,1/8/2026,WTA500,Outdoor,Hard,3rd Round,3,Pegula J.,Yastremska D.,6,27,5583,1604,5,7,6,2,6,3,2,1,Completed,1.36,3.2,1.39,3.25,1.44,3.25,1.36,3.06,1.43,3.25
2,Brisbane,Brisbane International,1/8/2026,WTA500,Outdoor,Hard,3rd Round,3,Kostyuk M.,Anisimova A.,26,3,1659,6287,6,4,6,3,,,2,0,Completed,3.2,1.36,3.27,1.38,3.25,1.44,3,1.38,3.35,1.41
2,Brisbane,Brisbane International,1/8/2026,WTA500,Outdoor,Hard,3rd Round,3,Andreeva M.,Noskova L.,9,12,4125,2641,5,7,6,4,7,5,2,1,Completed,1.44,2.75,1.49,2.8,1.44,2.95,1.42,2.79,1.53,2.86
2,Brisbane,Brisbane International,1/9/2026,WTA500,Outdoor,Hard,Quarterfinals,3,Muchova K.,Rybakina E.,20,5,1888,5850,6,2,2,6,6,4,2,1,Completed,4.33,1.22,4.29,1.26,4.33,1.25,4.09,1.23,4.8,1.25
2,Brisbane,Brisbane International,1/9/2026,WTA500,Outdoor,Hard,Quarterfinals,3,Sabalenka A.,Keys M.,1,7,10490,4335,6,3,6,3,,,2,0,Completed,1.17,5,,,1.21,6,1.17,4.86,1.19,6
2,Brisbane,Brisbane International,1/9/2026,WTA500,Outdoor,Hard,Quarterfinals,3,Pegula J.,Samsonova L.,6,17,5583,2209,6,3,7,6,,,2,0,Completed,1.36,3.2,,,1.44,3.25,1.36,3.07,1.47,3.05
2,Brisbane,Brisbane International,1/9/2026,WTA500,Outdoor,Hard,Quarterfinals,3,Kostyuk M.,Andreeva M.,26,9,1659,4125,7,6,6,3,,,2,0,Completed,2.1,1.73,,,2.1,1.83,2.01,1.78,2.08,1.9
2,Brisbane,Brisbane International,1/10/2026,WTA500,Outdoor,Hard,Semifinals,3,Sabalenka A.,Muchova K.,1,20,10490,1888,6,3,6,4,,,2,0,Completed,1.2,4.5,1.26,4.33,1.23,4.6,1.21,4.32,1.28,4.4
2,Brisbane,Brisbane International,1/10/2026,WTA500,Outdoor,Hard,Semifinals,3,Kostyuk M.,Pegula J.,26,6,1659,5583,6,0,6,3,,,2,0,Completed,2.2,1.67,,,2.25,1.7,2.2,1.66,2.34,1.72
2,Brisbane,Brisbane International,1/11/2026,WTA500,Outdoor,Hard,The Final,3,Sabalenka A.,Kostyuk M.,1,26,10490,1659,6,4,6,3,,,2,0,Completed,1.29,3.75,1.29,4.06,1.3,4,1.27,3.71,1.3,4.2
3,Adelaide,Adelaide International,1/12/2026,WTA500,Outdoor,Hard,1st Round,3,Navarro E.,Jones E.,15,155,2467,463,6,3,6,3,,,2,0,Completed,1.3,3.5,1.38,3.3,1.34,3.6,1.32,3.33,1.38,3.45
3,Adelaide,Adelaide International,1/12/2026,WTA500,Outdoor,Hard,1st Round,3,Mboko V.,Haddad Maia B.,17,59,2157,1052,5,7,6,3,6,2,2,1,Completed,1.29,3.75,1.27,4.17,1.3,4,1.26,3.77,1.27,4.5
3,Adelaide,Adelaide International,1/12/2026,WTA500,Outdoor,Hard,1st Round,3,Tomljanovic A.,Tauson C.,76,14,851,2530,7,6,,,,,1,0,Retired,2.2,1.67,2.21,1.74,2.54,1.67,2.26,1.62,2.22,1.76
3,Adelaide,Adelaide International,1/12/2026,WTA500,Outdoor,Hard,1st Round,3,Kalinskaya A.,Ruse E.G.,33,79,1483,849,6,0,6,3,,,2,0,Completed,1.57,2.38,1.58,2.53,1.58,2.55,1.54,2.44,1.62,2.56
3,Adelaide,Adelaide International,1/12/2026,WTA500,Outdoor,Hard,1st Round,3,Bouzkova M.,Badosa P.,45,26,1184,1675,3,6,6,3,6,4,2,1,Completed,2.2,1.67,2.19,1.75,2.23,1.76,2.14,1.68,2.28,1.76
3,Adelaide,Adelaide International,1/12/2026,WTA500,Outdoor,Hard,1st Round,3,Cristian J.,Alexandrova E.,37,11,1324,3375,6,4,6,4,,,2,0,Completed,4,1.25,4.43,1.24,4.1,1.25,3.97,1.24,4.7,1.25
3,Adelaide,Adelaide International,1/12/2026,WTA500,Outdoor,Hard,1st Round,3,Kasatkina D.,Sakkari M.,48,52,1168,1133,7,6,6,4,,,2,0,Completed,2.5,1.53,,,2.5,1.57,2.43,1.53,2.56,1.62
3,Adelaide,Adelaide International,1/13/2026,WTA500,Outdoor,Hard,1st Round,3,Shnaider D.,Fernandez L.A.,23,22,1818,1821,7,5,6,3,,,2,0,Completed,1.73,2.1,1.72,2.23,1.8,2.12,1.74,2.06,1.87,2.12
3,Adelaide,Adelaide International,1/13/2026,WTA500,Outdoor,Hard,1st Round,3,Birrell K.,Potapova A.,107,54,726,1103,6,4,6,4,,,2,0,Completed,2.2,1.67,2.38,1.65,2.2,1.9,2.09,1.72,2.2,1.8
3,Adelaide,Adelaide International,1/13/2026,WTA500,Outdoor,Hard,1st Round,3,Vondrousova M.,Samsonova L.,34,18,1386,2122,6,1,4,6,6,2,2,1,Completed,1.73,2.1,1.8,2.11,1.76,2.2,1.72,2.09,1.8,2.2
3,Adelaide,Adelaide International,1/13/2026,WTA500,Outdoor,Hard,1st Round,3,Joint M.,Kenin S.,32,28,1490,1567,7,6,6,4,,,2,0,Completed,1.8,2,1.79,2.12,1.83,2.05,1.78,2,1.83,2.14
3,Adelaide,Adelaide International,1/13/2026,WTA500,Outdoor,Hard,1st Round,3,Valentova T.,Ostapenko J.,60,24,1036,1741,7,5,3,2,,,1,0,Retired,1.36,3.2,1.35,3.5,1.36,3.5,1.33,3.23,1.4,3.35
3,Adelaide,Adelaide International,1/13/2026,WTA500,Outdoor,Hard,1st Round,3,Putintseva Y.,Galfi D.,105,93,741,789,6,4,6,4,,,2,0,Completed,1.44,2.75,1.49,2.79,1.47,3,1.41,2.81,1.44,3.2
3,Adelaide,Adelaide International,1/13/2026,WTA500,Outdoor,Hard,1st Round,3,Siniakova K.,Yastremska D.,46,27,1172,1610,6,0,6,1,,,2,0,Completed,2.2,1.67,,,2.25,1.67,2.2,1.65,,
3,Adelaide,Adelaide International,1/13/2026,WTA500,Outdoor,Hard,2nd Round,3,Mboko V.,Kalinskaya A.,17,33,2157,1483,6,2,3,6,7,6,2,1,Completed,1.8,2,,,1.85,2.4,1.77,2.02,1.88,2.1
3,Adelaide,Adelaide International,1/13/2026,WTA500,Outdoor,Hard,2nd Round,3,Andreeva M.,Bouzkova M.,8,45,4232,1184,6,3,6,1,,,2,0,Completed,1.4,3,,,1.4,3.05,1.38,2.95,1.46,3.1
